我是山姆,2001,9.0,334194
茶馆,1982(中国大陆),9.6,140695
九品芝麻官,1994,8.7,667876
花样年华,2000,8.7,599436
恐怖直播,2013,8.7,644842
血战钢锯岭,2016,8.7,775877
色，戒,2007,8.7,794845
七武士,1954,9.3,195465
头脑特工队,2015,8.8,603317
惊魂记,1960,9.0,288673
黑客帝国3：矩阵革命,2003,8.8,442372
你的名字。,2016,8.5,1391686
电锯惊魂,2004,8.8,525518
三块广告牌,2017,8.7,812389
达拉斯买家俱乐部,2013,8.8,447768
疯狂原始人,2013,8.7,830076
心迷宫,2014,8.7,514044
谍影重重3,2007,8.8,413437
上帝之城,2002,9.0,298863
英雄本色,1986,8.6,533731
卢旺达饭店,2004,8.9,326223
纵横四海,1991,8.8,420487
风之谷,1984,8.9,351164
海街日记,2015,8.8,442774
爱在午夜降临前,2013,8.9,396484
绿里奇迹,1999,8.9,325073
记忆碎片,2000,8.7,594054
岁月神偷,2010,8.7,570200
忠犬八公物语,1987,9.2,193731
疯狂的石头,2006,8.6,811103
荒蛮故事,2014,8.8,439093
雨中曲,1952,9.1,221855
小偷家族,2018,8.7,805266
2001太空漫游,1968,8.9,322729
小丑,2019,8.7,993620
爆裂鼓手,2014,8.7,581267
背靠背，脸对脸,1994,9.5,129586
无敌破坏王,2012,8.7,530672
无间道2,2003,8.7,471043
贫民窟的百万富翁,2008,8.6,738414
冰川时代,2002,8.6,605838
心灵奇旅,2020,8.7,965721
东邪西毒,1994,8.6,571312
恐怖游轮,2009,8.5,850180
牯岭街少年杀人事件,1991,8.9,295125
魔女宅急便,1989,8.7,454112
遗愿清单,2007,8.7,454280
你看起来好像很好吃,2010,8.9,329515
真爱至上,2003,8.6,725800
东京教父,2003,9.0,225768
大佛普拉斯,2017,8.7,448646
黑天鹅,2010,8.6,773004
可可西里,2004,8.9,299928
城市之光,1931,9.3,144108
源代码,2011,8.5,825838
雨人,1988,8.7,399622
恋恋笔记本,2004,8.5,662490
海边的曼彻斯特,2016,8.6,528968
初恋这件小事,2010,8.5,972842
人工智能,2001,8.7,440186
波西米亚狂想曲,2018,8.6,596159
虎口脱险,1966,8.9,253663
青蛇,1993,8.6,520073
终结者2：审判日,1991,8.8,338089
罗生门,1950,8.8,310541
疯狂的麦克斯4：狂暴之路,2015,8.7,523198
萤火虫之墓,1988,8.7,401702
新龙门客栈,1992,8.7,438632
千钧一发,1997,8.8,293820
崖上的波妞,2008,8.6,489308
无耻混蛋,2009,8.6,470996
末路狂花,1991,8.9,249013
奇迹男孩,2017,8.6,546457
彗星来的那一夜,2013,8.6,570553
二十二,2015,8.7,289084
黑客帝国2：重装上阵,2003,8.7,401780
花束般的恋爱,2021,8.6,605635
爱乐之城,2016,8.4,882631
血钻,2006,8.7,375579
房间,2015,8.8,365035
战争之王,2005,8.7,364129
步履不停,2008,8.8,276171
魂断蓝桥,1940,8.8,275361
芙蓉镇,1987,9.3,133098
火星救援,2015,8.5,717065
哈利·波特与死亡圣器(上),2010,8.5,564108
千年女优,2001,8.8,262763
谍影重重2,2004,8.7,347951
阿飞正传,1990,8.5,505351
弱点,2009,8.7,303066
燃情岁月,1994,8.8,283338
谍影重重,2002,8.6,420466
朗读者,2008,8.6,449864
再次出发之纽约遇见你,2013,8.6,422499
哈利·波特与凤凰社,2007,8.5,556692
白日梦想家,2013,8.6,463446
香水,2006,8.5,539129
穿越时空的少女,2006,8.6,378051
海洋,2009,9.1,155532
